scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,1.8,1.8,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,1.8,1.8,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,1.8,1.8,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,1.8,1.8,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,14.108,14.108,0.0,Empate
network_cloud_multiregion,prism_cc_cost,makespan,14.802,14.108,-4.919194783101779,HEFT
network_hpc_cloud,prism_cc_time,makespan,2.213,2.213,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,2.213,2.213,0.0,Empate
network_edge_cloud,prism_cc_time,makespan,13.975,13.975,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,13.975,13.975,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,makespan,2.25,2.31,2.5974025974025996,PRISM-CC
network_fog_hpc_cloud,prism_cc_cost,makespan,2.25,2.31,2.5974025974025996,PRISM-CC
network_wfcommons_overlay,prism_cc_time,makespan,16.344,16.374,0.18321729571270054,PRISM-CC
network_wfcommons_overlay,prism_cc_cost,makespan,19.412,16.374,-18.553804812507636,HEFT
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.036963,0.036963,0.0,Empate
network_cloud_multiregion,prism_cc_cost,budget_used,0.024986,0.036963,32.40267294321349,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_edge_cloud,prism_cc_time,budget_used,0.026481,0.026481,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.026481,0.026481,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_time,budget_used,0.09513,0.095062,-0.07153226315458595,HEFT
network_wfcommons_overlay,prism_cc_cost,budget_used,0.038795,0.095062,59.189791925269816,PRISM-CC
